frame,person_id,x1,y1,x2,y2
1,0,708,508,872,791
1,1,1041,565,1224,873
2,1,1041,566,1224,873
2,0,708,508,871,791
2,2,707,508,867,673
3,0,708,509,871,791
3,2,708,507,867,673
3,1,1042,566,1226,871
4,0,708,509,871,791
4,1,1043,566,1226,870
4,2,708,507,867,675
5,0,707,509,872,791
5,1,1043,567,1226,871
5,2,708,507,868,675
6,1,1043,567,1227,870
6,2,708,507,868,674
6,0,708,507,871,790
7,0,709,507,871,790
7,1,1044,567,1227,871
8,0,709,507,872,789
8,1,1044,568,1227,871
8,2,709,506,869,675
9,0,709,507,872,789
9,2,709,506,869,674
9,1,1045,567,1227,872
10,0,710,506,872,790
10,1,1045,568,1229,872
10,2,709,506,870,705
11,0,710,506,873,790
11,1,1045,568,1227,873
11,2,709,506,871,699
12,0,710,507,872,790
12,1,1045,568,1228,872
12,2,709,506,869,675
13,1,1045,569,1228,873
13,0,710,506,873,790
13,2,710,506,869,675
14,0,710,506,873,790
14,1,1046,569,1228,872
14,2,710,506,870,675
15,1,1046,568,1229,870
15,0,710,508,874,790
15,2,710,506,870,676
16,1,1046,567,1228,870
16,0,710,506,874,789
16,2,710,504,871,677
17,1,1046,567,1228,869
17,0,711,506,874,788
17,2,710,504,871,674
18,1,1047,566,1228,868
18,0,711,504,875,788
19,0,711,503,875,788
19,1,1047,566,1229,867
20,1,1046,565,1229,867
20,0,711,503,876,787
21,1,1046,564,1229,866
21,0,712,501,876,785
22,1,1047,562,1230,866
22,0,712,501,875,781
22,2,711,499,872,670
23,0,712,500,875,781
23,1,1047,560,1231,865
23,2,712,498,872,667
24,0,712,499,875,781
24,1,1047,560,1230,863
24,2,711,497,873,666
25,2,711,497,872,666
25,0,711,498,875,780
25,1,1047,558,1230,862
26,0,712,497,875,779
26,1,1047,557,1231,860
26,2,711,496,872,665
27,0,711,497,874,779
27,1,1047,556,1232,859
27,2,711,496,872,663
28,0,711,496,875,779
28,1,1047,556,1231,858
29,2,711,495,872,662
29,1,1047,556,1230,857
29,0,711,496,874,778
30,0,711,496,874,777
30,2,711,495,871,661
30,1,1047,555,1231,857
31,0,711,496,875,777
31,2,711,495,872,661
31,1,1047,556,1230,855
32,1,1047,556,1229,856
32,0,711,495,875,777
32,2,710,494,872,661
33,1,1047,556,1229,856
33,2,710,493,872,661
33,0,710,494,875,776
34,0,710,494,876,775
34,1,1047,554,1230,856
34,2,710,493,873,663
35,0,710,494,876,774
35,1,1047,553,1230,854
35,2,710,493,873,661
36,0,710,493,876,774
36,2,710,493,873,659
36,1,1048,553,1231,853
37,0,711,493,876,773
37,1,1048,552,1232,853
37,2,710,492,873,659
38,1,1048,552,1233,853
38,0,711,492,876,772
38,2,711,491,874,662
39,0,711,493,877,772
39,2,711,492,874,663
39,1,1048,551,1233,852
40,1,1048,551,1233,851
40,0,711,493,877,771
40,2,711,492,875,666
41,1,1048,551,1233,851
41,0,712,493,878,770
41,2,711,492,876,670
42,0,712,493,877,770
42,1,1048,551,1233,851
42,2,711,492,876,672
43,1,1048,552,1233,852
43,0,711,493,877,771
43,2,711,492,875,668
44,1,1048,552,1234,852
44,0,712,492,879,768
44,2,711,492,877,684
45,1,1049,551,1235,852
45,0,713,492,879,770
46,1,1049,551,1235,852
46,0,713,492,880,770
47,1,1049,550,1235,851
47,0,713,492,880,769
48,1,1049,550,1235,851
48,0,712,491,880,769
49,1,1049,550,1235,851
49,0,712,491,880,769
50,1,1049,550,1235,851
50,0,712,491,880,769
51,1,1049,550,1235,851
51,0,713,492,880,769
52,0,713,492,881,769
52,1,1049,550,1236,852
53,0,713,492,881,769
53,1,1049,550,1236,852
54,0,713,491,881,769
54,1,1049,550,1236,852
55,1,1049,550,1236,852
55,0,714,491,881,769
56,1,1050,550,1236,852
56,0,714,492,881,770
56,2,713,491,878,657
57,1,1050,549,1236,852
57,0,714,492,880,770
57,2,713,491,878,656
58,1,1050,549,1236,852
58,0,714,492,881,769
58,2,713,491,878,659
59,0,714,492,881,769
59,1,1050,549,1236,851
59,2,713,492,878,659
60,1,1050,549,1237,852
60,0,715,492,881,768
61,1,1050,549,1237,852
61,0,716,493,880,769
61,2,715,492,878,655
62,0,716,492,880,769
62,1,1051,548,1237,851
62,2,719,492,879,660
63,1,1051,548,1237,850
63,0,717,492,881,769
63,2,719,492,879,659
64,1,1051,548,1237,850
64,0,717,492,882,769
64,2,719,492,880,660
65,1,1051,548,1237,849
65,0,718,491,882,769
65,2,720,491,881,660
66,1,1052,547,1238,849
66,2,720,491,881,661
66,0,718,491,884,770
67,1,1051,546,1237,848
67,2,719,491,881,661
67,0,718,491,883,768
68,2,719,491,881,660
68,0,718,491,883,768
68,1,1052,546,1237,848
69,1,1052,545,1238,848
69,0,719,491,883,767
69,2,720,491,882,660
70,0,720,490,884,767
70,1,1052,544,1238,847
70,2,721,491,883,659
71,1,1053,544,1238,847
71,0,721,489,885,767
71,2,720,490,884,653
72,1,1054,543,1238,846
72,0,721,489,886,766
72,2,721,489,885,652
73,1,1054,543,1238,846
73,0,722,489,886,766
73,2,721,489,886,650
74,1,1054,542,1239,845
74,0,723,490,887,765
74,2,723,490,886,653
75,1,1055,542,1239,844
75,0,724,489,887,765
75,2,724,489,886,654
76,0,724,489,888,764
76,1,1056,540,1240,844
76,2,725,490,888,653
77,0,726,489,888,764
77,1,1057,539,1239,844
77,2,726,489,887,656
78,0,727,489,888,764
78,2,727,489,888,654
78,1,1059,538,1240,842
79,1,1059,537,1240,842
79,0,729,490,888,764
79,2,728,489,888,655
80,0,730,490,889,764
80,1,1060,535,1242,842
80,2,729,490,889,658
81,1,1061,536,1242,842
81,0,731,490,889,763
81,2,731,491,892,657
82,2,733,491,892,656
82,1,1063,534,1243,843
82,0,735,490,888,764
83,0,736,490,888,764
83,2,734,491,892,655
83,1,1063,534,1243,841
84,0,738,489,889,763
84,1,1065,533,1245,838
84,2,737,490,893,654
85,0,738,489,889,763
85,1,1066,532,1243,834
85,2,738,489,890,660
86,0,740,489,889,765
86,1,1066,531,1242,830
86,2,740,490,893,648
87,0,741,489,889,765
87,1,1066,530,1242,826
87,2,741,490,892,646
88,1,1065,529,1241,826
88,0,743,489,889,764
88,2,743,489,891,647
89,0,744,489,889,764
89,1,1065,529,1240,824
89,2,743,490,891,646
90,0,745,489,889,764
90,1,1065,528,1240,822
90,2,745,488,889,657
91,1,1064,528,1240,819
91,0,747,489,889,765
91,2,747,488,889,655
92,2,746,488,888,655
92,0,746,489,888,764
92,1,1064,528,1241,814
93,1,1064,526,1240,815
93,0,748,488,887,763
93,2,748,487,888,654
94,0,748,488,887,762
94,2,749,487,888,655
94,1,1062,525,1239,817
95,1,1061,524,1239,817
95,0,748,488,886,759
95,2,746,489,887,650
96,0,747,487,886,760
96,2,746,489,888,652
96,1,1060,523,1236,815
97,0,744,487,887,760
97,2,745,489,887,654
97,1,1057,523,1235,810
98,2,742,489,887,656
98,0,740,487,887,759
98,1,1054,523,1233,804
99,0,738,487,886,759
99,1,1050,524,1232,803
99,2,739,488,886,653
100,0,737,487,885,759
100,2,737,488,886,652
100,1,1047,523,1229,781
101,0,733,487,885,759
101,2,734,488,886,656
101,1,1043,521,1226,770
102,0,729,487,885,759
102,2,729,486,884,655
102,1,1037,520,1222,766
103,0,727,487,884,759
103,2,727,488,886,657
103,1,1032,520,1218,764
104,0,726,486,884,758
104,2,726,487,885,657
104,1,1028,519,1211,756
105,0,726,486,883,758
105,2,727,486,884,656
105,1,1024,518,1209,756
106,2,728,486,883,656
106,0,726,486,882,760
106,1,1020,517,1205,755
107,0,726,485,882,760
107,2,728,486,883,656
107,1,1015,516,1203,754
108,0,727,485,881,759
108,2,729,486,882,656
108,1,1012,514,1201,755
108,3,1013,515,1200,934
109,0,729,485,881,759
109,2,731,486,882,656
109,1,1009,512,1200,754
110,0,730,485,881,759
110,2,732,485,882,655
110,1,1007,511,1199,754
111,0,730,485,881,759
111,2,733,485,881,655
111,1,1003,508,1198,754
112,0,731,485,882,760
112,2,732,484,883,654
112,1,994,507,1195,754
113,0,731,484,882,760
113,2,732,484,883,654
