frame,person_id,x1,y1,x2,y2
1,0,657,416,804,719
1,1,659,417,804,580
2,1,659,417,804,580
2,0,657,416,804,718
3,0,657,416,804,718
3,1,659,417,804,580
4,1,660,416,803,580
4,0,658,417,803,715
5,1,660,416,803,580
5,0,658,417,803,715
6,0,658,417,803,715
6,1,660,416,803,580
7,0,658,417,803,715
7,1,660,416,803,579
8,1,659,416,802,579
8,0,656,417,803,715
9,1,659,416,802,578
9,0,655,417,803,715
10,1,659,416,802,579
10,0,655,417,803,715
11,0,655,417,803,715
11,1,658,417,803,579
12,1,658,417,803,578
12,0,657,416,802,718
13,1,658,417,803,578
13,0,656,416,802,718
14,0,656,416,802,718
14,1,657,417,803,579
15,1,657,417,803,579
15,0,657,416,803,719
16,1,657,417,803,579
16,0,656,416,802,718
17,1,657,417,803,580
17,0,656,416,802,717
18,1,657,416,803,579
18,0,656,416,803,719
19,1,657,416,803,579
19,0,657,415,802,709
20,1,657,416,802,579
20,0,656,415,802,718
21,0,656,415,802,718
21,1,656,416,802,579
22,0,655,415,801,718
22,1,656,416,802,579
23,0,655,415,801,718
23,1,655,416,801,580
24,1,655,416,801,579
24,0,654,415,801,718
25,0,654,415,801,718
25,1,654,416,801,580
26,0,654,415,801,718
26,1,655,415,801,580
27,0,654,415,801,718
27,1,654,415,801,580
28,0,653,415,801,718
28,1,653,416,801,578
29,0,653,415,801,718
29,1,654,415,801,579
30,0,653,415,801,718
30,1,653,415,801,579
31,0,652,415,800,718
31,1,653,415,800,578
32,0,652,415,800,718
32,1,653,415,800,578
33,0,652,414,800,718
33,1,653,415,800,578
34,0,652,414,800,718
34,1,652,415,800,578
35,0,652,414,800,718
35,1,652,414,800,579
36,1,652,414,800,579
36,0,652,414,799,718
37,0,652,414,799,718
37,1,652,414,800,578
38,0,651,414,799,718
38,1,652,414,800,578
39,0,651,413,799,718
39,1,652,414,799,578
40,0,652,413,799,718
40,1,652,414,799,578
41,0,652,413,799,718
41,1,652,414,799,578
42,0,651,413,798,718
42,1,651,413,798,578
43,0,651,413,798,718
43,1,651,413,798,578
44,0,651,413,798,718
44,1,651,413,798,578
45,1,651,413,798,579
45,0,651,413,797,717
46,1,651,413,797,579
46,0,651,415,796,715
47,1,651,413,797,579
48,1,651,413,797,579
48,0,651,412,797,711
49,1,651,413,797,578
50,1,651,412,797,578
50,0,651,414,796,715
51,1,651,412,797,578
51,0,650,413,797,719
52,1,651,412,797,578
52,0,651,411,797,717
53,0,651,411,797,717
53,1,651,412,797,578
54,1,651,412,797,578
54,0,651,411,797,717
55,1,651,412,797,578
55,0,651,411,798,717
56,0,651,411,798,717
56,1,651,411,798,578
57,1,651,411,798,578
57,0,651,411,797,718
58,1,651,411,798,579
58,0,651,411,797,717
59,1,651,411,798,579
59,0,650,411,797,717
60,1,651,411,797,579
60,0,650,411,797,717
61,0,650,411,796,717
61,1,651,411,796,579
62,0,650,411,796,717
62,1,651,411,797,578
63,0,650,410,796,717
63,1,651,411,796,578
64,0,650,410,796,717
64,1,650,411,796,578
65,0,650,410,796,716
65,1,650,411,797,577
66,1,650,411,797,577
66,0,649,410,796,717
67,0,649,410,796,717
67,1,650,411,796,577
68,0,649,410,796,717
68,1,650,410,797,577
69,0,649,410,795,717
69,1,650,410,797,577
70,1,650,410,797,577
70,0,649,410,796,716
71,1,650,410,797,577
71,0,649,410,796,716
72,1,650,410,796,576
72,0,648,411,795,715
73,1,650,410,796,577
73,0,647,411,795,714
74,1,650,410,796,577
74,0,648,411,795,714
75,1,650,410,796,577
75,0,648,410,795,716
76,1,650,410,796,577
76,0,649,410,795,715
77,1,650,410,796,577
77,0,649,409,795,716
78,1,650,410,796,577
78,0,647,410,795,714
79,1,650,410,796,577
79,0,645,410,795,714
80,1,650,410,796,577
80,0,645,410,795,714
81,1,650,410,796,577
81,0,647,409,795,716
82,1,650,410,796,577
82,0,648,409,795,716
83,1,650,410,796,577
83,0,648,410,795,714
84,0,648,410,795,714
84,1,650,410,796,577
