frame,person_id,x1,y1,x2,y2
1,0,435,345,704,1046
1,1,1046,273,1239,479
1,2,1094,410,1357,982
1,3,437,345,704,744
1,4,1097,411,1356,721
2,0,435,345,704,1045
2,3,437,345,703,745
2,2,1094,410,1357,984
2,1,1047,273,1238,478
2,4,1095,409,1356,722
3,1,1047,273,1238,479
3,0,435,345,703,1046
3,2,1094,410,1357,987
3,4,1095,409,1356,726
3,3,437,345,703,756
4,2,1094,410,1357,987
4,1,1047,273,1239,479
4,0,436,346,702,1044
4,4,1095,409,1357,724
4,3,438,345,703,750
5,2,1094,410,1357,987
5,0,436,346,702,1045
5,1,1047,273,1239,480
5,4,1095,409,1357,726
5,3,438,345,703,745
6,1,1047,273,1239,480
6,2,1094,410,1357,986
6,0,436,346,701,1045
6,4,1095,409,1356,730
6,3,437,344,701,742
7,2,1094,410,1358,986
7,1,1047,273,1239,480
7,0,435,345,700,1045
7,3,437,344,700,744
7,4,1095,409,1356,736
8,1,1047,273,1239,480
8,4,1095,409,1356,738
8,0,435,345,698,1046
8,2,1096,411,1358,989
8,3,437,344,699,742
9,2,1096,410,1357,988
9,1,1046,272,1239,481
9,0,435,344,696,1043
9,3,436,343,696,744
9,4,1095,409,1356,733
10,1,1045,272,1239,481
10,3,435,343,695,742
10,0,432,344,694,1046
10,4,1095,409,1355,728
10,2,1094,410,1356,982
11,1,1046,271,1238,482
11,3,434,342,694,741
11,4,1095,409,1354,731
11,0,430,344,693,1047
11,2,1095,411,1355,984
11,5,1044,270,1240,569
12,1,1046,271,1239,482
12,2,1094,410,1355,982
12,3,433,342,692,741
12,0,428,343,692,1051
12,5,1044,270,1238,572
12,4,1095,410,1355,723
13,4,1094,410,1355,723
13,2,1093,411,1355,980
13,1,1046,271,1239,482
13,0,428,343,691,1053
13,3,432,341,691,743
14,2,1093,412,1355,978
14,1,1045,271,1239,481
14,4,1094,411,1355,725
14,3,429,341,689,740
14,0,424,343,689,1056
15,0,422,342,690,1056
15,1,1044,271,1238,481
15,3,428,341,690,743
15,2,1092,412,1355,972
15,5,1043,269,1239,573
15,4,1092,411,1354,732
16,0,422,343,690,1055
16,2,1092,413,1355,974
16,3,427,341,690,742
16,1,1044,270,1238,482
16,5,1043,269,1239,570
16,4,1093,412,1354,737
17,4,1092,412,1354,738
17,1,1045,271,1239,483
17,3,425,341,690,740
17,0,420,343,690,1057
17,2,1092,413,1355,967
18,0,419,344,691,1058
18,4,1092,411,1354,737
18,2,1091,412,1355,965
18,1,1045,271,1239,482
18,3,424,342,690,739
19,4,1092,411,1353,738
19,2,1092,412,1355,967
19,1,1045,271,1239,481
19,0,419,344,694,1060
19,3,423,342,695,750
20,2,1091,412,1355,967
20,4,1092,411,1353,739
20,1,1045,271,1239,482
20,0,419,342,699,1056
20,3,421,342,699,752
21,1,1044,271,1239,482
21,4,1092,412,1353,737
21,2,1092,413,1354,972
21,0,418,341,704,1056
21,3,420,341,706,750
22,1,1044,271,1239,482
22,2,1091,413,1354,972
22,4,1092,412,1353,729
22,0,415,343,712,1057
22,3,418,342,713,739
23,2,1092,413,1353,973
23,1,1046,271,1239,483
23,4,1092,412,1352,727
23,0,416,343,720,1054
23,3,416,341,720,736
24,4,1091,413,1353,727
24,1,1044,271,1239,483
24,2,1091,413,1353,971
24,0,416,343,726,1053
24,3,414,341,725,736
25,2,1090,414,1353,973
25,0,415,342,728,1053
25,1,1045,271,1239,483
25,4,1091,414,1352,730
25,3,415,340,728,735
26,1,1045,271,1239,483
26,2,1091,414,1353,974
26,4,1092,413,1352,731
26,3,415,339,735,735
26,0,413,342,735,1063
27,1,1044,271,1239,483
27,2,1091,414,1354,972
27,0,416,342,736,1062
27,4,1092,413,1353,728
27,3,416,339,738,736
28,2,1091,414,1354,972
28,3,417,341,739,734
28,1,1043,271,1239,483
28,0,417,343,739,1060
28,4,1092,414,1353,732
29,2,1092,414,1355,972
29,1,1044,271,1238,483
29,3,418,341,738,732
29,0,416,343,741,1064
29,4,1092,414,1353,737
30,1,1044,271,1239,483
30,2,1091,415,1354,970
30,3,422,341,738,732
30,0,421,343,738,1058
30,4,1091,414,1352,744
31,2,1091,415,1354,971
31,1,1046,271,1240,483
31,3,425,341,741,735
31,0,423,343,742,1063
31,4,1091,414,1353,731
32,1,1046,271,1239,482
32,2,1091,416,1354,976
32,4,1091,414,1352,742
32,3,427,340,753,736
32,0,426,341,754,1066
33,1,1045,271,1239,482
33,2,1091,415,1353,973
33,4,1092,414,1352,736
33,0,429,340,768,1065
33,3,431,339,768,733
34,2,1091,415,1353,971
34,1,1044,272,1239,483
34,4,1091,414,1352,730
34,0,432,340,777,1062
34,3,434,339,779,732
35,1,1044,272,1239,484
35,2,1091,416,1353,968
35,4,1092,414,1352,726
35,0,437,339,781,1056
35,3,440,338,785,730
36,2,1090,416,1352,967
36,1,1044,272,1238,484
36,4,1091,415,1351,729
36,0,440,338,790,1055
36,3,443,337,793,727
37,4,1091,415,1352,730
37,2,1091,416,1353,971
37,1,1045,272,1238,488
37,3,447,336,797,726
37,0,444,338,794,1059
38,1,1045,271,1238,488
38,4,1092,415,1352,732
38,2,1091,416,1353,965
38,3,449,335,796,724
38,0,446,337,795,1051
39,2,1091,416,1353,966
39,4,1092,415,1352,729
39,3,449,333,796,720
39,1,1047,272,1238,486
39,0,448,336,797,1024
40,2,1091,417,1353,966
40,0,449,335,796,1025
40,3,450,333,796,722
40,4,1091,416,1352,730
40,1,1047,271,1238,484
41,2,1091,419,1354,969
41,1,1047,271,1238,486
41,0,451,335,797,1020
41,3,452,333,795,726
41,4,1090,417,1352,734
42,2,1090,420,1354,966
42,0,452,334,796,1014
42,4,1089,419,1352,749
42,1,1047,271,1239,573
43,2,1090,420,1354,968
43,0,455,334,796,1015
43,4,1089,419,1352,752
43,1,1046,270,1239,575
44,4,1090,421,1352,751
44,0,456,335,796,1019
44,2,1091,422,1354,992
44,1,1047,272,1239,493
45,2,1091,423,1353,993
45,4,1090,422,1351,749
45,0,456,334,795,1032
45,1,1046,271,1239,502
46,0,456,334,796,1028
46,2,1091,423,1353,985
46,4,1091,422,1351,738
46,1,1044,269,1242,571
47,2,1091,424,1353,978
47,0,455,334,796,1039
47,4,1092,422,1351,733
47,3,457,333,795,731
47,1,1045,270,1240,496
48,2,1091,426,1353,986
48,0,454,335,797,1028
48,3,455,334,795,723
48,1,1045,271,1241,491
48,4,1091,425,1351,742
49,2,1090,426,1353,982
49,4,1090,425,1352,740
49,0,453,336,799,1025
49,1,1041,271,1240,486
50,2,1090,427,1352,980
50,4,1091,426,1351,740
50,0,453,337,804,1022
50,3,454,336,797,721
50,1,1082,271,1240,484
51,2,1090,428,1353,984
51,4,1092,428,1351,741
51,3,451,336,801,722
51,0,450,337,809,1029
51,1,1037,271,1239,490
52,2,1090,429,1353,991
52,4,1091,428,1351,744
52,3,449,337,804,723
52,0,448,338,817,1031
52,1,1032,271,1240,495
53,2,1091,429,1352,990
53,4,1091,428,1351,743
53,3,449,338,805,725
53,0,448,339,820,1028
53,1,1031,270,1242,533
54,2,1090,430,1352,993
54,3,451,338,806,724
54,0,450,339,822,1021
54,4,1091,429,1350,751
54,1,1031,270,1242,560
55,4,1090,431,1350,749
55,0,452,342,821,1018
55,3,452,339,804,728
55,2,1090,432,1352,980
55,1,1030,270,1243,546
56,0,452,342,823,1019
56,3,452,340,802,727
56,1,1030,269,1241,548
56,2,1090,432,1350,992
56,4,1090,432,1348,740
57,1,1030,267,1241,548
57,3,454,341,802,729
57,4,1089,432,1348,738
57,0,453,342,821,1022
57,2,1089,432,1350,999
58,2,1089,432,1350,1002
58,4,1090,432,1348,739
58,0,454,343,820,1018
58,3,454,342,801,731
58,1,1031,266,1240,543
59,2,1089,434,1350,1004
59,3,455,343,802,734
59,4,1090,434,1348,741
59,0,454,344,821,1026
59,1,1032,265,1241,542
60,2,1089,435,1350,1003
60,0,456,347,821,1025
60,4,1090,435,1348,739
60,3,456,346,802,733
60,1,1032,263,1242,548
61,4,1089,434,1349,739
61,0,459,347,821,1023
61,2,1087,433,1350,1007
61,3,459,346,799,731
61,1,1029,262,1242,544
62,4,1088,435,1348,740
62,3,459,348,799,731
62,2,1088,435,1350,1007
62,0,459,348,821,1027
62,1,1030,261,1244,530
63,4,1088,435,1348,740
63,2,1088,435,1350,1008
63,0,462,349,820,1027
63,1,1028,260,1244,530
63,3,462,349,799,733
64,2,1088,435,1351,1006
64,4,1088,435,1349,744
64,0,468,349,820,1028
64,3,468,350,800,733
64,1,1029,260,1243,536
65,2,1088,435,1350,1005
65,1,1029,260,1245,535
65,4,1088,434,1348,749
65,3,471,351,799,734
65,0,472,350,818,1031
66,3,472,351,798,734
66,0,474,350,817,1031
66,2,1087,437,1349,1002
66,1,1030,260,1244,532
66,4,1087,436,1347,750
67,2,1086,437,1349,1000
67,0,476,350,818,1030
67,4,1086,436,1347,746
67,3,475,351,799,731
67,1,1029,260,1244,536
68,2,1087,437,1348,998
68,0,477,350,818,1032
68,4,1087,436,1346,749
68,3,477,351,799,729
68,1,1025,260,1241,535
69,2,1087,436,1347,999
69,0,479,350,817,1030
69,3,479,351,798,730
69,4,1086,436,1346,745
69,1,1017,260,1240,533
70,4,1086,437,1347,745
70,2,1087,436,1348,994
70,0,479,350,817,1038
70,3,478,350,796,732
70,1,1018,260,1241,539
71,4,1086,437,1347,746
71,2,1087,436,1348,991
71,1,1016,259,1241,539
71,3,480,351,795,731
71,0,479,351,816,1054
72,0,481,350,816,1054
72,2,1086,437,1349,993
72,3,482,351,795,730
72,1,1016,258,1240,539
72,4,1085,437,1347,749
73,2,1087,437,1349,995
73,3,483,352,798,730
73,0,482,351,813,1050
73,1,1015,259,1239,537
73,4,1086,437,1348,744
74,0,483,351,814,1053
74,2,1087,437,1350,1000
74,1,1015,259,1238,535
74,4,1086,437,1348,755
75,0,484,351,814,1055
75,2,1087,436,1351,997
75,4,1086,436,1349,759
75,1,1015,258,1236,530
76,2,1087,437,1351,998
76,4,1086,437,1348,758
76,0,484,351,816,1057
76,1,1015,258,1236,534
77,2,1088,437,1351,1001
77,0,485,352,818,1056
77,4,1086,437,1348,752
77,1,1013,258,1232,533
78,2,1087,437,1350,1001
78,1,1014,258,1232,530
78,4,1086,437,1348,743
78,0,490,353,825,1056
79,2,1087,438,1350,1003
79,4,1086,438,1348,747
79,1,1014,257,1228,528
79,0,506,353,833,1056
80,4,1087,437,1347,745
80,2,1087,435,1349,1008
80,1,1012,256,1228,520
80,0,514,354,845,1055
81,4,1087,438,1348,746
81,2,1087,438,1350,1004
81,0,516,355,853,1055
81,1,1009,255,1227,524
82,2,1087,438,1350,1004
82,4,1086,438,1348,744
82,0,516,356,858,1057
82,1,1007,253,1226,521
83,2,1087,438,1350,1006
83,1,1007,253,1225,522
83,0,516,356,862,1055
83,4,1085,438,1348,750
84,2,1087,438,1350,1007
84,4,1085,438,1348,751
84,0,517,356,865,1055
84,1,1004,253,1226,518
85,2,1087,438,1350,1004
85,4,1086,438,1348,753
85,0,518,355,870,1055
85,1,1007,251,1227,518
86,2,1086,438,1351,1005
86,0,518,355,873,1055
86,4,1086,438,1348,765
86,1,1005,251,1224,543
87,2,1087,438,1350,1006
87,4,1086,438,1348,762
87,0,519,354,877,1052
87,1,1004,249,1224,627
88,2,1087,438,1350,1006
88,0,522,354,879,1052
88,4,1086,438,1348,756
88,1,1010,249,1223,580
89,2,1086,437,1349,1003
89,0,521,355,887,1050
89,4,1086,438,1347,748
89,1,1005,247,1221,524
90,4,1086,438,1346,749
90,2,1086,437,1348,1007
90,0,523,355,893,1051
90,1,998,246,1221,527
91,2,1085,436,1348,1008
91,4,1085,438,1346,747
91,0,526,354,897,1053
91,1,989,246,1221,525
92,2,1085,436,1348,1007
92,4,1085,438,1347,745
92,0,529,355,900,1054
92,1,985,245,1223,520
93,4,1085,438,1347,745
93,2,1084,436,1349,1009
93,0,531,355,902,1053
93,1,983,246,1226,525
94,2,1085,436,1349,1012
94,4,1086,438,1347,750
94,0,532,356,898,1055
94,1,982,245,1225,522
95,4,1086,438,1347,750
95,2,1086,438,1349,1012
95,0,531,356,902,1055
95,1,978,245,1229,523
96,2,1086,436,1349,1012
96,0,534,357,900,1053
96,4,1085,438,1348,754
96,1,981,245,1232,521
97,0,536,358,900,1053
97,2,1086,438,1350,1008
97,4,1084,438,1349,745
97,1,978,245,1233,526
98,2,1085,439,1350,1009
98,0,534,358,900,1055
98,4,1086,438,1348,745
