frame,person_id,x1,y1,x2,y2
1,0,923,598,1208,968
1,1,1600,651,1881,967
1,2,865,481,1050,826
2,1,1600,651,1882,966
2,0,923,596,1207,966
2,2,865,481,1050,822
3,0,923,594,1207,967
3,1,1599,651,1882,967
3,2,864,481,1048,824
4,1,1600,651,1882,968
4,0,923,593,1207,966
4,2,864,482,1048,823
5,1,1600,651,1882,968
5,0,922,592,1206,966
5,2,863,482,1046,817
6,1,1600,651,1882,969
6,0,922,591,1206,966
6,2,863,483,1046,815
7,1,1600,651,1882,970
7,2,863,483,1045,814
7,0,922,589,1204,966
8,1,1600,651,1882,970
8,0,921,588,1203,966
8,2,863,483,1045,819
9,1,1599,651,1882,971
9,0,921,587,1203,967
9,2,862,484,1045,818
10,1,1599,651,1882,971
10,2,862,484,1045,818
10,0,921,585,1202,966
11,1,1599,651,1882,970
11,0,921,584,1202,965
11,2,861,484,1045,816
12,1,1599,650,1882,969
12,2,861,484,1045,818
12,0,920,580,1203,965
13,1,1599,650,1882,969
13,0,920,579,1202,965
13,2,861,484,1043,816
14,1,1599,651,1882,971
14,0,920,579,1201,965
14,2,861,484,1043,814
15,2,861,484,1043,814
15,0,920,578,1200,965
15,1,1599,651,1882,973
16,0,920,578,1199,965
16,1,1599,650,1882,974
16,2,860,484,1043,812
17,1,1599,650,1882,973
17,0,919,578,1200,965
17,2,859,484,1043,815
18,1,1599,650,1882,973
18,0,919,578,1200,965
18,2,858,484,1043,824
19,1,1599,650,1882,974
19,0,919,577,1199,965
19,2,858,484,1043,822
20,1,1598,650,1882,972
20,0,919,577,1197,965
20,2,859,484,1041,817
21,1,1598,650,1882,970
21,2,858,484,1040,818
21,0,919,576,1192,966
22,1,1598,650,1882,970
22,2,858,484,1039,817
22,0,919,576,1188,967
23,1,1598,650,1882,970
23,0,919,574,1181,967
23,2,858,484,1032,815
24,1,1599,650,1881,972
24,2,858,484,1031,816
24,0,918,573,1176,967
25,1,1599,650,1881,973
25,0,918,572,1173,967
25,2,858,486,1028,805
26,1,1599,650,1881,973
26,0,918,569,1170,967
26,2,858,485,1024,806
27,1,1599,650,1881,972
27,2,858,485,1023,805
27,0,917,568,1167,967
28,1,1599,650,1882,973
28,0,917,567,1165,967
28,2,857,485,1022,803
29,1,1599,650,1882,972
29,0,918,566,1164,968
29,2,857,484,1021,810
30,1,1598,650,1882,972
30,0,918,566,1163,969
30,2,857,486,1021,807
31,0,918,566,1162,968
31,1,1599,650,1882,970
31,2,858,486,1025,806
32,0,918,566,1161,970
32,2,858,486,1024,808
32,1,1598,651,1883,975
33,1,1599,651,1883,974
33,0,918,565,1160,970
33,2,858,486,1024,806
34,0,919,565,1160,970
34,1,1599,651,1882,974
34,2,857,485,1029,807
35,1,1599,650,1882,974
35,0,919,565,1160,969
35,2,858,485,1027,803
36,0,920,565,1160,969
36,1,1599,650,1882,975
36,2,859,485,1028,803
37,1,1600,650,1883,975
37,0,921,565,1159,969
