frame,person_id,x1,y1,x2,y2
1,0,395,411,548,717
1,1,691,396,833,576
1,2,688,396,834,715
2,1,691,396,833,575
2,2,689,396,834,715
2,0,395,412,548,716
2,3,395,412,547,579
3,0,395,412,548,716
3,2,689,396,834,714
3,1,691,396,832,575
3,3,394,412,547,576
4,0,395,411,548,716
4,3,395,412,546,576
4,2,689,395,833,714
4,1,690,395,831,575
5,0,395,411,547,716
5,2,688,395,833,713
5,3,394,412,546,578
5,1,690,395,831,575
6,0,395,411,547,717
6,2,688,394,832,712
6,1,690,394,830,574
7,2,688,394,832,711
7,0,395,410,547,717
7,3,395,411,546,578
7,1,689,394,830,573
8,0,395,410,548,717
8,2,688,394,832,711
8,1,689,394,829,573
8,3,394,411,546,576
9,0,395,410,547,716
9,2,688,393,833,711
9,3,395,410,546,575
9,1,689,393,831,573
10,0,395,409,547,715
10,1,689,392,830,572
10,3,395,410,546,572
10,2,686,394,832,710
11,0,396,408,547,713
11,2,686,394,831,709
11,3,396,409,546,570
11,1,689,393,829,570
12,0,396,408,547,712
12,3,396,409,547,569
12,2,686,393,829,709
12,1,689,392,828,570
13,0,396,407,547,713
13,1,689,392,828,569
13,3,396,408,546,571
13,2,688,392,830,709
14,0,396,406,546,712
14,2,688,391,828,709
14,1,688,392,827,569
14,3,396,407,546,569
15,0,396,405,546,711
15,3,396,406,546,569
15,2,688,391,829,708
15,1,688,391,828,568
16,0,396,405,547,711
16,2,688,390,831,708
16,3,396,405,546,567
16,1,688,390,830,568
17,3,396,405,547,567
17,0,396,404,547,709
17,2,688,389,831,706
17,1,688,389,830,567
18,0,396,404,547,709
18,3,396,405,546,567
18,2,689,388,830,704
18,1,688,388,828,567
19,1,688,387,828,567
19,2,688,387,830,704
19,0,395,404,546,708
19,3,395,405,546,566
20,2,688,387,829,703
20,1,687,387,828,566
20,0,393,403,546,708
20,3,394,404,545,565
21,2,687,387,830,704
21,1,687,387,828,566
21,0,392,403,546,708
21,3,393,404,545,566
22,0,392,403,546,708
22,2,688,386,829,703
