frame,person_id,x1,y1,x2,y2
1,0,664,390,827,700
1,1,656,319,774,433
2,0,664,390,827,700
2,1,656,319,774,432
3,0,664,390,827,700
3,1,657,318,774,430
4,0,664,389,828,699
4,1,657,318,774,430
5,0,665,389,828,701
5,1,657,317,774,430
6,0,665,389,829,702
6,1,657,317,775,432
7,0,665,389,829,704
7,1,658,317,775,431
8,0,665,389,829,703
8,1,658,317,775,431
9,0,665,389,829,703
9,1,658,317,775,432
10,0,665,389,830,703
10,1,658,317,775,433
11,1,659,316,776,433
11,0,666,389,830,701
12,0,666,389,831,702
12,1,659,316,776,433
13,0,666,389,831,703
13,1,659,316,776,432
14,1,659,316,777,432
14,0,666,389,831,707
15,0,666,389,831,708
15,1,659,316,777,431
16,0,666,389,832,708
16,1,660,316,777,430
17,0,666,389,832,709
17,1,660,316,777,431
18,0,666,389,833,709
18,1,660,316,778,432
19,0,667,390,832,709
19,1,660,316,778,432
20,1,660,316,778,432
20,0,667,390,832,707
21,0,667,391,832,707
21,1,660,316,778,431
22,0,667,391,832,707
22,1,660,316,778,433
23,0,667,390,832,706
23,1,660,316,778,434
24,1,660,316,778,434
24,0,667,390,832,703
25,1,660,316,778,434
25,0,666,390,833,704
26,0,666,390,833,704
26,1,660,316,778,434
27,0,666,390,833,702
27,1,660,315,778,433
28,0,666,389,833,703
28,1,659,315,778,431
29,1,659,315,778,431
29,0,666,389,833,707
30,1,660,314,778,431
30,0,666,388,833,712
31,1,660,313,778,432
31,0,666,388,833,708
32,1,660,313,778,431
32,0,666,387,833,707
33,0,666,387,833,707
33,1,660,313,778,432
34,0,665,386,833,706
34,1,660,312,777,432
35,1,660,312,777,432
35,0,665,386,833,703
36,0,665,386,833,707
36,1,660,312,777,430
37,0,666,386,833,707
37,1,660,311,778,431
38,0,666,386,833,708
38,1,660,311,778,429
39,0,666,386,833,708
39,1,660,311,778,428
40,0,666,386,833,710
40,1,660,311,778,427
41,0,666,386,833,711
41,1,660,311,778,428
42,0,666,386,833,709
42,1,660,311,778,429
43,1,660,311,778,428
43,0,666,386,833,709
44,0,666,385,833,707
44,1,661,311,778,430
45,1,661,311,779,429
45,0,666,385,833,702
46,0,666,385,833,702
46,1,660,311,779,430
47,0,666,384,833,702
47,1,660,311,779,431
48,0,666,384,833,702
48,1,660,311,779,430
49,0,666,384,832,700
49,1,660,311,779,429
50,0,665,384,832,701
50,1,660,310,779,428
51,0,665,384,832,701
51,1,660,310,778,429
52,0,665,384,832,701
52,1,659,310,778,434
53,0,665,384,832,701
53,1,659,310,778,434
54,0,665,383,832,699
54,1,659,309,778,432
55,0,665,383,832,701
55,1,659,309,778,437
56,0,665,383,831,701
56,1,659,309,777,438
57,0,665,383,832,700
57,1,659,309,778,441
58,0,665,383,832,697
58,1,659,309,778,442
59,0,665,383,832,696
59,1,659,309,778,442
60,1,660,309,778,441
60,0,665,382,831,699
61,0,665,382,832,699
61,1,660,309,778,439
62,0,665,382,831,698
62,1,660,308,779,440
63,0,665,381,831,694
63,1,660,308,779,438
64,1,660,308,779,439
64,0,666,381,831,697
65,0,666,380,831,698
65,1,660,308,779,438
66,1,660,308,778,437
66,0,666,379,832,704
67,0,666,378,832,703
67,1,660,308,778,434
68,0,667,377,831,700
68,1,660,307,778,426
69,0,667,377,831,703
69,1,660,307,779,433
70,1,661,307,779,435
70,0,668,375,832,701
71,1,661,307,779,435
71,0,670,375,833,699
72,1,661,307,779,436
72,0,671,373,833,694
73,0,673,372,833,691
73,1,661,307,779,430
74,1,661,306,779,430
74,0,675,371,833,689
75,1,662,306,780,430
75,0,677,369,833,689
76,0,678,368,833,691
76,1,661,306,778,431
77,0,681,365,833,693
77,1,661,306,775,427
78,0,682,364,833,693
78,1,661,306,771,423
79,0,685,363,833,693
79,1,661,306,769,420
80,0,687,360,833,693
80,1,661,305,768,418
81,1,661,305,768,418
81,0,689,360,833,693
82,1,661,305,768,418
82,0,688,361,833,694
83,0,687,360,834,692
83,1,661,305,768,419
84,1,661,305,768,423
84,0,682,360,834,688
85,1,661,305,769,421
85,0,681,360,834,680
85,2,684,361,834,533
86,2,685,361,834,531
86,0,681,360,835,674
86,1,661,305,769,423
87,2,683,361,835,534
87,0,682,360,835,665
87,1,662,305,769,429
88,2,682,361,836,533
88,0,681,360,836,660
88,1,661,304,770,440
89,2,684,362,836,532
89,1,661,304,770,437
89,0,683,361,836,653
90,2,685,361,836,533
90,1,661,304,770,442
90,0,683,362,836,643
91,2,684,362,837,533
91,0,683,363,837,634
91,1,661,304,771,451
92,2,684,362,837,530
92,0,683,361,838,641
92,1,661,303,770,464
93,2,684,362,838,530
93,0,682,363,838,640
93,1,662,303,770,467
94,0,681,363,839,640
94,1,662,303,771,466
94,2,684,362,838,529
95,2,683,363,838,529
95,0,680,361,838,640
95,1,662,303,771,471
96,1,662,303,771,471
96,0,680,361,838,640
96,2,684,362,838,528
97,0,680,360,839,640
97,1,662,302,771,474
97,2,685,361,838,527
98,0,679,360,838,637
98,2,683,360,838,528
98,1,662,302,771,468
99,0,679,359,838,637
99,2,683,360,837,529
99,1,663,302,771,463
99,3,664,303,770,402
100,0,679,359,837,638
100,2,682,359,837,529
100,3,664,303,769,405
100,1,664,302,771,457
101,0,679,358,836,639
101,2,682,358,836,529
101,1,664,302,771,455
101,3,664,303,770,411
102,3,664,303,770,410
102,0,679,357,836,640
102,2,682,357,835,529
102,1,664,302,771,463
103,0,680,356,835,640
103,2,683,356,835,529
103,1,664,302,771,465
103,3,664,302,770,406
104,0,680,355,835,640
104,2,683,355,834,529
104,1,664,302,770,464
104,3,666,302,770,411
105,0,680,354,835,639
105,2,683,354,834,529
105,1,663,302,769,460
106,0,682,354,835,639
106,2,684,354,833,529
106,1,663,301,768,448
107,0,683,352,834,639
107,2,685,352,833,527
107,1,663,301,767,439
108,0,684,350,833,640
108,2,686,350,832,527
108,1,663,301,766,437
109,0,686,349,833,640
109,2,687,349,831,528
109,3,663,301,766,418
110,0,686,347,832,639
110,2,687,347,831,529
110,3,663,301,764,420
111,2,685,345,829,530
111,3,663,301,760,420
111,0,684,343,829,637
111,1,663,301,761,476
112,0,684,341,828,639
112,3,663,301,758,421
112,1,663,301,760,470
113,1,663,301,760,470
113,0,682,339,826,640
114,1,663,301,759,472
114,0,683,338,824,640
115,0,673,338,822,640
116,0,669,333,820,640
116,2,670,334,820,518
117,0,668,331,817,640
117,2,674,332,817,517
118,3,663,301,755,406
118,2,694,330,814,510
118,0,699,331,814,640
119,0,706,330,810,639
119,2,703,330,810,505
120,0,702,330,809,638
120,2,696,327,804,497
121,0,699,329,806,636
122,0,693,326,793,637
122,1,662,300,784,481
122,2,681,324,788,487
123,2,679,324,785,487
123,0,686,325,791,637
124,2,674,322,784,487
124,0,675,320,787,637
125,2,670,321,784,487
125,0,667,320,785,637
126,0,658,318,786,637
126,2,660,319,787,486
127,0,657,319,789,636
127,2,658,319,791,485
127,3,661,296,787,418
128,2,657,320,793,485
128,0,657,320,793,635
128,3,662,296,787,412
129,0,662,321,797,635
129,3,663,296,790,405
129,2,661,316,798,484
130,3,662,296,791,406
130,2,662,314,800,485
130,0,662,318,800,636
131,2,662,313,802,485
131,3,662,296,792,404
131,0,663,316,803,636
132,2,663,313,803,485
132,0,664,315,804,635
132,3,662,296,792,402
133,3,662,296,794,402
133,0,665,311,805,635
134,0,666,306,804,633
135,0,666,308,804,634
136,0,665,302,804,635
137,0,666,308,804,634
138,0,667,306,803,633
138,3,663,294,795,398
139,0,668,306,803,633
139,3,663,294,794,399
140,0,668,310,803,633
140,3,663,294,793,400
141,0,668,312,803,633
141,3,663,294,791,399
142,0,669,312,803,634
142,3,664,295,789,398
143,3,664,295,789,398
143,0,669,311,804,634
144,0,669,308,804,634
144,3,665,295,788,399
145,0,670,308,804,634
145,3,668,295,787,395
146,0,670,315,804,635
146,3,671,294,787,398
147,0,670,316,804,634
148,0,671,317,804,634
149,0,671,317,804,634
150,0,671,314,804,634
151,0,670,315,804,634
151,3,675,294,780,392
152,0,671,313,804,635
152,3,675,294,787,396
153,0,670,313,804,635
153,3,674,293,787,397
154,3,675,294,788,397
154,0,670,311,804,635
155,3,674,293,788,397
155,0,670,313,804,634
156,0,670,311,804,634
156,3,674,293,788,396
157,0,670,311,804,635
157,3,674,293,787,397
158,0,670,309,804,635
158,3,674,293,787,397
159,3,675,293,787,397
159,0,670,311,804,635
160,3,675,293,787,397
160,0,670,313,803,635
161,0,670,315,802,634
161,3,674,293,788,398
162,0,671,315,801,634
162,3,674,293,789,397
162,4,672,315,800,485
163,0,672,316,802,634
163,3,675,293,790,396
164,0,672,316,802,633
164,3,676,293,789,394
165,3,676,293,789,394
165,0,672,318,802,634
166,0,672,318,802,634
166,3,676,293,789,393
167,0,673,322,802,635
167,3,677,294,787,391
168,0,673,321,802,635
168,3,677,294,786,390
169,0,674,320,803,635
169,3,677,294,785,390
170,0,674,321,803,635
170,3,677,294,784,389
171,0,674,322,803,635
171,3,677,294,786,390
172,3,677,294,785,390
172,0,674,322,803,635
173,0,674,322,804,635
173,3,677,294,786,391
174,0,674,324,804,634
174,3,677,294,787,392
175,0,674,323,804,633
175,3,677,294,786,391
