frame,person_id,head_yaw,body_lean_x,body_down_lean,body_rot_shrink,crawl_diag,reach_norm,reach_dx,reach_dy,shoulder_width,lw_x,lw_y,rw_x,rw_y,nose_conf,le_conf,re_conf,ls_conf,rs_conf,lh_conf,rh_conf,lw_conf,rw_conf
1,0,0.011227189984116358,-0.0029498482905991634,-1.2229838210674508,0.5527952996609762,1.2229873785929601,1.4526744385980948,0.7791689861793124,1.226033733439905,149.44036865234375,1207.1943359375,824.8336181640625,1025.5042724609375,816.8992919921875,0.9780696630477905,0.9160788059234619,0.9814164638519287,0.991101086139679,0.9952357411384583,0.9528740644454956,0.9604288339614868,0.9239479899406433,0.9550458788871765
1,1,-0.0077872996377351,0.14218393317949482,-1.0973515194655352,0.5664082449066999,1.106524571858985,0.8054559083215171,-0.2618007481018312,0.761721463885167,157.4296875,1798.976806640625,785.5764770507812,1722.42236328125,787.7300415039062,0.97906494140625,0.9343842267990112,0.9757298231124878,0.9905351996421814,0.9932470321655273,0.8968287706375122,0.903527557849884,0.9352260231971741,0.9459826350212097
1,2,0.02080638048047608,0.05677553833330137,-1.2971365213929047,0.6040469207264321,1.2983784567237404,0.4773448297618452,0.24445706473985962,0.4099985731671966,108.2249755859375,1503.7301025390625,556.3455200195312,1456.47900390625,557.4563598632812,0.9564757347106934,0.8719309568405151,0.9529083967208862,0.983972430229187,0.9866933226585388,0.8229697346687317,0.8296204209327698,0.8890464901924133,0.9027512073516846
2,0,0.01302003748960211,-0.0029984327581332334,-1.2342039914823102,0.5524188158553919,1.2342076337431525,1.4474629128990386,0.7753304036750923,1.2222976926081421,149.390380859375,1206.645263671875,823.8173217773438,1025.5645751953125,816.3981323242188,0.9759159088134766,0.9065921306610107,0.9800889492034912,0.9903460144996643,0.994885265827179,0.9515777826309204,0.9593866467475891,0.9210631847381592,0.9535107612609863
2,2,0.021768489868742517,0.0541683515488338,-1.293628216810825,0.6040791436522374,1.2947618212005918,0.4803133480256211,0.2434176957119702,0.4140636879827258,108.3736572265625,1503.743408203125,556.7644653320312,1456.1529541015625,557.5285034179688,0.9570074677467346,0.8737589120864868,0.9538257122039795,0.9839479327201843,0.9867479801177979,0.8217752575874329,0.8289434909820557,0.887757420539856,0.902298629283905
2,1,-0.006487009305272988,0.12669543749209825,-1.0910322050712458,0.5657636502551611,1.098363785994394,0.7857271957279869,-0.2449128149362158,0.7465821717577945,157.3814697265625,1802.7799072265625,785.5508422851562,1725.9932861328125,785.9482421875,0.979213297367096,0.9340498447418213,0.9766182899475098,0.9901121258735657,0.9933905601501465,0.8971112966537476,0.9066663980484009,0.9276065826416016,0.9446319937705994
3,0,0.011542559681158242,-0.0018487941762576762,-1.240128106063687,0.5563791820382642,1.2401294841624457,1.4350274758530308,0.7655886778640856,1.2137453739477002,150.079345703125,1205.9124755859375,822.4059448242188,1026.1690673828125,818.2542724609375,0.9739272594451904,0.9027544260025024,0.9776977896690369,0.9897638559341431,0.9943445920944214,0.948986291885376,0.9563665986061096,0.9221728444099426,0.9514771699905396
3,2,0.022661427230534815,0.04930100063591604,-1.2743079753811262,0.6078248393967036,1.2752613084319808,0.4946091686241988,0.2524603625512093,0.4253257516629261,108.0733642578125,1504.92138671875,557.84375,1454.6497802734375,558.0261840820312,0.9567084312438965,0.876242995262146,0.9538165926933289,0.9830347299575806,0.9860121607780457,0.8115485906600952,0.8194864988327026,0.8801640868186951,0.8959211111068726
3,1,-0.008131886355851688,0.13868921136937448,-1.1045098704756768,0.5691628559709926,1.1131831616263586,0.784023478138962,0.26313415694498044,0.7385480551202948,157.521240234375,1806.6236572265625,785.1632080078125,1728.9090576171875,785.6837768554688,0.9790605902671814,0.9385111927986145,0.9751786589622498,0.9884588122367859,0.9918320775032043,0.8641825318336487,0.8742220997810364,0.9139286279678345,0.9302763342857361
4,0,0.00997908992226844,-7.979860699653069e-05,-1.2366607389635278,0.5571040646413391,1.2366607415381294,1.4317050544702996,0.7661196231881351,1.2094792623116255,150.29595947265625,1206.4423828125,822.0026245117188,1026.4874267578125,818.4170532226562,0.9741214513778687,0.9063030481338501,0.9771759510040283,0.9898333549499512,0.99425208568573,0.9487353563308716,0.9558183550834656,0.922748327255249,0.9509093165397644
